Id;N по каталогу;Категория;Название товара рус;Название товара eng;Объем;Родительский товар;Бренд;Линия;Цена закупки;Цена;Цена со скидкой;Артикул;Активность;Короткое описание;Поставщик;Страна производства;Изготовитель;Цвет через запятую
;739;Косметика;Противокуперозная сыворотка  ;DЕRMA-CALM NEURO-SENSITIVE SERUM COUPEROSE ;15;;ERICSON LABORATOIRE;DERMA-CALM;591 600;591 600;;Е640;;Специальная лечебная сыворотка для борьбы с куперозом и ухода за сверхчувствительной кожей, склонной к раздражению. Биотехнологические комплексы предотвращают нейрогенное воспаление. Биокомплексфитотонин из экстрактов орешков кипариса, купены, арники защищает и укрепляет капилляры. Сыворотка обладает выраженным противовоспалительным и сосудосуживающим эффектами. При регулярном использовании препарата видимая сосудистая сеточка становится менее заметной и замедляется прогрессирование купероза.;;Франция;;
;740;Косметика;Сыворотка Ультра-Сенситив ;DЕRMA-CALM NEURO-SENSITIVE SERUM ULTRA-SENSITIVE ;15;;ERICSON LABORATOIRE;DERMA-CALM;591 600;591 600;;E641;;Концентрированная, обогащенная уникальнымибиокомплексами и криэкстрактами целебных растений (босвеллии, почек пиона) сыворотка действует быстро и эффективно. Обладает выраженным противовоспалительным, успокаивающим и защитным действием. Эффективно подавляет воспаление, успокаивает и смягчает кожу. Биокомплекс из экстрактов орешков кипариса, купены и арники благоприятно воздействует на расширенные капилляры и мелкие сосуды. Может применяться как «SOS-препарат» для раздраженной и гиперчувствительной кожи. ;;Франция;;
;741;Косметика;Крем Ноу-Стресс ;DERMA-CALM NEURO-SENSITIVE NO-STRESS CREAM ;50;;ERICSON LABORATOIRE;DERMA-CALM;632 400;632 400;;E642;;Крем с необыкновенно нежной, воздушной текстурой и тонким завораживающим ароматом специально создан для ухода за чувствительной кожей, склонной к повышенной реакции на внешние раздражители. Препарат увеличивает устойчивость кожи к стрессу, снижает ее реактивность, устраняет покраснение, а также великолепно смягчает и увлажняет кожу. Экстракт инжира богат полисахаридами, создающими эффект «второй кожи» и защищающими ее от воздействия неблагоприятных факторов внешней среды. Обладает также выраженным увлажняющим действием. Миндальное молочко питает и смягчает. Крем рекомендуется применять для ухода за нормальной и комбинированной кожей. Это средство также идеально подходит для мужчин в качестве восстанавливающего крема после бритья.;;Франция;;
;742;Косметика;Крем Де-Стресс ;DERMA-CALM NEURO-SENSITIVE DE-STRESS CREAM ;50;;ERICSON LABORATOIRE;DERMA-CALM;632 400;632 400;;E643;;Нежный крем для ухода за сверхчувствительной, склонной к раздражению и шелушению кожей. Препарат обогащен ценными сортами натуральных растительных масел тунга и рыжеи, которые усиливают синтез церамидов, восстанавливают липидный состав эпидермиса, оказывают мощное антиоксидантное, смягчающее и регенерирующее действие. Биокомплексы препятствуют возникновению воспалительных реакций, быстро снимают шелушение, успокаивают кожу, а также восстанавливают ее собственные защитные функции. Крем идеально подходит для ухода за сухой, обезвоженной кожей особенно в холодное время года. ;;Франция;;
;743;Косметика;Расслабляющий ночной крем Найт-Релакс;DЕRMA-CALM NEURO-SENSITIVE NIGHT-RELAX CREAM ;50;;ERICSON LABORATOIRE;DERMA-CALM;632 400;632 400;;E644;;Крем с нежнейшей текстурой и деликатным чарующим ароматом свежести быстро успокаивает и смягчает раздраженную за день кожу, мгновенно создавая ощущение комфорта. Препарат специально разработан для вечернего ухода за стянутой и сверхчувствительной кожей, склонной к воспалению, покраснению, шелушению. Крем содержит в своем составе биокомплексы, которые предотвращают нейрогенное воспаление, увлажняют кожу, укрепляют капилляры. Экстракт ночного жасмина повышает местный иммунитет кожи, усиливает процессы регенерации.;;Франция;;
;744;Косметика;Мини-Кит набор DERMA-CALM (крем Ноу-Стресс, противокуперозная сыворотка, ночной крем Найт-Релакс);MINI KIT DERMA-CALM ;наб. 10+10+10;;ERICSON LABORATOIRE;DERMA-CALM;346 800;346 800;;D656;;;;Франция;;
;745;Косметика;Мини-Кит набор DERMA-CALM (крем Де-Стресс, противокуперозная сыворотка, ночной крем Найт-Релакс);MINI KIT DERMA-CALM ;наб. 10+10+10;;ERICSON LABORATOIRE;DERMA-CALM;346 800;346 800;;D659;;;;Франция;;
;746;Косметика;Набор для путешествий DERMA-CALM (T1034 Молочко 80 мл + T1035 Лосьон 80 мл + T1036 Крем Ноу-Стресс 20 мл + T1037 Ночной крем 20 мл);TRAVEL KIT DERMA-CALM : T1034 + T1035 + T1036 + T1037 ;наб. ;;ERICSON LABORATOIRE;DERMA-CALM;765 000;765 000;;T1033;;;;Франция;;
;747;Косметика;Солнцезащитный крем SPF30. Лицо, плечи, декольте ;DERMA SUN. SUN CARE CREAM SPF 30 - FACE, SHOULDERS, CHEST;100;;ERICSON LABORATOIRE;DERMA-CALM;693 600;693 600;;E887;;;;Франция;;
;748;Косметика;Солнцезащитный крем SPF50. Нос, лоб, глаза ;DERMA SUN. SUN CARE CREAM SPF 50 - NOSE, FOREHEAD, EYES;50;;ERICSON LABORATOIRE;DERMA-CALM;612 000;612 000;;E888;;;;Франция;;
;749;Косметика;Солнцезащитный флюид SPF30. Тело, лицо ;DERMA SUN. SUN CARE FLUID SPF 30 - BODY, FACE;200;;ERICSON LABORATOIRE;DERMA-CALM;775 200;775 200;;E889;;;;Франция;;
;750;Косметика;Очищающее молочко;NOVACID+ CLEANSING MILK ;200;;ERICSON LABORATOIRE;NOVACID;326 400;326 400;;Е383;;;;Франция;;
;751;Косметика;Увлажняющий тоник;NOVACID+ MOISTURIZING TONER ;200;;ERICSON LABORATOIRE;NOVACID;326 400;326 400;;Е384;;;;Франция;;
;752;Косметика;Регенерирующий крем;NOVACID+ REGENERATING CREAM ;50;;ERICSON LABORATOIRE;NOVACID;918 000;918 000;;Е389;;;;Франция;;
;753;Косметика;Очищающее молочко Био-Пьюр;BIO-PURE BALANCE CLEANSER MILK ;250;;ERICSON LABORATOIRE;PURE-BIOTIC;306 000;306 000;;Е105;;;;Франция;;
;754;Косметика;Тоник Био-Пьюар;BIO-PURE BALANCE TONER ;250;;ERICSON LABORATOIRE;PURE-BIOTIC;306 000;306 000;;E106;;;;Франция;;
;755;Косметика;Очищающий скраб Поре'Нэт для жирной кожи;BIO-PURE PORE'NET SCRUB ;50;;ERICSON LABORATOIRE;PURE-BIOTIC;408 000;408 000;;Е259;;;;Франция;;
;756;Косметика;Увлажняющий крем Гидра-Софт;BIO-PURE HYDRA-SOFT ;50;;ERICSON LABORATOIRE;PURE-BIOTIC;489 600;489 600;;Е123;;;;Франция;;
;757;Косметика;Набор X50 BODY MATRIX (E1030 Крем для гиноидного типа фигуры, 150 мл + E1031 Концентрат ABDOFIX, 150 мл. + E545 Липо-скульптор, 1 шт.)    NEW!!!;X50 BODY MATRIX TECHNIC BOX (E1030 GYNOID-CONTOUR CREAM + E1031 ABDOFIX CONCENTRATE + E545 LIPO-SCULPTOR. Slimming massage roller)   NEW!!!;наб.;;ERICSON LABORATOIRE;X50 BODY MATRIX;1 088 100;1 088 100;;E1029;;;;Франция;;
;758;Косметика;Энзимный восстанавливающий крем ;PEDICARE. ENZYMATIC REPAIR;60;;ERICSON LABORATOIRE;PEDICARE;326 400;326 400;;E871;;;;Франция;;
;759;Косметика;Освежающий крем против тяжести в ногах ;PEDICARE. DECONGESTION REFRESH;60;;ERICSON LABORATOIRE;PEDICARE;265 200;265 200;;E872;;;;Франция;;
;760;Косметика;Интенсивный корректирующий крем;MANUCARE CLEAR ACTIVE CREAM;50;;ERICSON LABORATOIRE;MANUCARE;408 000;408 000;;E928;;;;Франция;;
;761;Косметика;Интенсивный увлажняющий крем;MANUCARE HYDRO ACTIVE CREAM;50;;ERICSON LABORATOIRE;MANUCARE;408 000;408 000;;E929;;;;Франция;;
;762;Косметика;Интенсивный питательный крем;MANUCARE NUTRI ACTIVE CREAM;50;;ERICSON LABORATOIRE;MANUCARE;408 000;408 000;;E930;;;;Франция;;
;763;Косметика;Сыворотка MULTI-TARGET LIFTING SERUM;MORPHO BUST MULTI-TARGET LIFTING SERUM;6 х 3;;ERICSON LABORATOIRE;MORPHO BUST;510 000;510 000;;E603;;;;Франция;;
;764;Косметика;Крем VOLUME;MORPHO BUST VOLUME CREAM ;100;;ERICSON LABORATOIRE;MORPHO BUST;652 800;652 800;;E604;;;;Франция;;
;765;Косметика;Мини эспандер BUST’UP ;MORPHO BUST BUST’UP ;шт.;;ERICSON LABORATOIRE;MORPHO BUST;306 000;306 000;;E734;;;;Франция;;
;766;Косметика;Крем интенсивный регенерирующий для тела BODY CARE ;SUPREME DHE.Age INTENSIVE REGENERATION BODY CARE CREAM ;200;;ERICSON LABORATOIRE; SUPREME-DHE.Age;938 400;938 400;;Е340;;;;Франция;;
;767;Косметика;Интенсивный регенерирующий крем для бюста;SUPREME DHE.Age INTENSIVE REGENERATION BUST CARE CREAM ;50;;ERICSON LABORATOIRE; SUPREME-DHE.Age;693 600;693 600;;Е341;;;;Франция;;
;768;Косметика;Пэтчи для восстановления кожи   Новая формула!;SUPREME-DHE.Age SKIN REGENERATING PATCHES;наб.;;ERICSON LABORATOIRE; SUPREME-DHE.Age;510 000;510 000;;Е321;;Лечебные пластыри содержат комплекс натуральных активных омолаживающих ингредиентов, которые проникают через кожу и оказывают действие на весь организм: регулируют гормональный фон, положительно влияют на метаболизм, оказывают тонизирующее действие, успокаивают и гармонизируют психоэмоциональную сферу. ;;Франция;;
;769;Косметика;Крем плоский животик SLIM WAIST                              ;SUPREME-DHE.Age SLIM WAIST CREAM ;100;;ERICSON LABORATOIRE; SUPREME-DHE.Age;612 000;612 000;;Е610;;;;Франция;;
;770;Косметика;Сыворотка для сжигания жира FAT BURN ;CELLULIT’ VIB  FAT BURN SERUM ;наб.;;ERICSON LABORATOIRE;CELLULITE VIB;1 101 600;1 101 600;;E785;;Концентрированная сыворотка является незаменимым препаратом в комплексном лечении целлюлита. При нанесении на кожу создается ощущение тепла, так как препарат обладает разогревающим эффектом. Повышение температуры тканей увеличивает проницаемость активных компонентов непосредственно в жировые клетки.В результате обеспечивается эффективное расщепление и выведение жиров. Сыворотка так же улучшает микроциркуляцию и дренаж тканей, укрепляет стенки кровеносных сосудов, оказывает разглаживающее действие, уменьшая эффект «апельсиновой корки»;;Франция;;
;771;Косметика;Гель FAT CHOC;CELLULIT’ VIB FAT SHOCK GEL ;200;;ERICSON LABORATOIRE;CELLULITE VIB;1 020 000;1 020 000;;E786;;Высокоэффективный лечебный препарат является воплощением революционного подхода к лечению целлюлита и устранению избыточных жировых отложений. Благодаря особой молекулярной структуре и уникальному составу гель вибрирует, как будто тысяча пружинок находится у вас на ладони. При нанесении на кожу активные компоненты воспроизводят эффект ультразвуковой волны, буквально «разбивают» скопления жировых клеток. Препарат активирует расщепление и выведение жиров, эффективно устраняет изменения, деформирующие поверхность кожи. Гель действует в течение всего дня и подходит для любых проблемных участков, обладает свежим ароматом ягод, очень экономичен в применении, не оставляет жирных следов.;;Франция;;
;772;Косметика;Гель DRAIN  SHOCK ;CELLULIT’ VIB DRAIN SHOCK GEL ;200;;ERICSON LABORATOIRE;CELLULITE VIB;1 020 000;1 020 000;;Е787;;Косметическое средство нового поколения за счет особенной молекулярной структурой вибрирует и при нанесении на кожу воспроизводит эффект ультразвукового массажа. Гель устраняет межклеточный отек, что является необходимым при целлюлите. Улучшает работу венозной и лимфатической системы, нормализует состояние мелких капилляров, способствует быстрому выведению продуктов расщепления жиров, а также великолепно разглаживает кожу, устраняя эффект «апельсиновой корки».;;Франция;;
;773;Косметика;"Набор Целлюлит-Скульптор: 
- Ручной роликовый массажер Липо-Скульптор, E545  
- Пленка для обёртывания Слим Врап, E738                                       - Приспособление для отрезания плёнки P18";"CELLULIT-SCULPT SLIMMING KIT                                                                    - LIPO-SCULPTOR SLIMMING MASSAGE ROLLER, E545
- SLIM WRAP, E738                                                                                               - SLIM CUTTER, P18 ";наб.;;ERICSON LABORATOIRE;CELLULITE VIB;510 000;510 000;;E788;;;;Франция;;
;774;Косметика;Массажер Липо-Скульптор;LIPO-SCULPTOR SLIMMING MASSAGE ROLLER;шт.;;ERICSON LABORATOIRE;CELLULITE VIB;306 000;306 000;;E545;;;;Франция;;
;775;Косметика;Пленка для обёртывания Слим Врап;SLIM WRAPPING AT HOME;шт.;;ERICSON LABORATOIRE;CELLULITE VIB;306 000;306 000;;E738;;;;Франция;;
;776;Косметика;Набор Липо-стресс: флюид Дестресс, 150 мл + сыворотка для нейролиза, 10 мл;LIPO STRESS. NEURO-CELLULITE TREATMENT;наб.;;ERICSON LABORATOIRE;LIPO-STRESS;836 400;836 400;;E881;;;;Франция;;
;777;Косметика;Квик Дрейн  Венотонизирующий спрей ;LIPO DRAINAGE 3D QUICK DRAIN;200;;ERICSON LABORATOIRE;LIPO-STRESS;571 200;571 200;;E817;;;;Франция;;
;778;Косметика;Целлюлит-Детокс интенсивный антицеллюлитный крем ;LIPO DRAINAGE 3D CELLULIT DETOX ;150;;ERICSON LABORATOIRE;LIPO-STRESS;571 200;571 200;;E818;;;;Франция;;
;779;Косметика;Венотонизирующи капсулы;LIPO DRAINAGE 3D VEINO CAPS;наб.;;ERICSON LABORATOIRE;LIPO-STRESS;326 400;326 400;;E827;;;;Франция;;
;780;Косметика;Экспресс Пэтч Антицеллюлитные пластыри;LIPO DRAINAGE 3D EXPRESS PATCH ;наб.;;ERICSON LABORATOIRE;LIPO-STRESS;448 800;448 800;;E828;;;;Франция;;
;781;Косметика;"Набор ""Осмо Термия Релакс"" (E946 Соль ""Осмо Термия Релакс"" + E947 Масло ""Фито Арома Релакс"")    NEW";OSMO-SENS. RELAX BOX (E946 Osmo-thermy Relaxing Salt + E947 Phyto-Aromes Relaxing Essences)    NEW;наб.;;ERICSON LABORATOIRE;OSMO SENS;754 800;754 800;;E945;;Препараты спа–набора обогащены эфирными маслами и растительными экстрактами с успокаивающим, седативным действием. Это дает возможность превратить уход за телом в настоящее наслаждение, легко и быстро справиться со стрессом, восстановить гармоничное состояние нервной системы и улучшить настроение. Соль ОСМО–ТЕРМИЯ РЕЛАКС обогащена пудрой листьев чайного дерева и бурыми водорослями. Оказывает противовоспалительное и бактерицидное действие, восстанавливает нормальный уровень содержания минералов в коже, выводит токсины и способствует похудению. Ароматерапевтическое масло ФИТО–АРОМА РЕЛАКС за счет комбинации натуральных компонентов исключительной ценности интенсивно питает, увлажняет и смягчает кожу, а также является идеальным средством для самомассажа. Сочетание массажа и действия эфирных масел создает приятный эффект релаксации и ощущение благополучия.;;Франция;;
;782;Косметика;"Набор ""Осмо Термия Целлюлит"" (E949 Соль ""Осмо Термия Целлюлит"" + E950 Масло ""Фито Арома Целлюлит"")    NEW";OSMO-SENS. CELLULITE BOX (E949 Osmo-thermy Slimming Salt + E950 Phyto-Aromes Slimming Essences)    NEW;наб.;;ERICSON LABORATOIRE;OSMO SENS;754 800;754 800;;E948;;Морская соль и аромамасло этого спа–набора обогащены эфирными маслами, вытяжками из целебных растений и водорослей, которые обладают значительным антицеллюлитным и укрепляющим кожу действием. При использовании препаратов различными способами (массаж, пилинг, прием ванны) происходит более целенаправленное воздействие на разные механизмы возникновения и развития целлюлита, что позволяет усилить лечебный эффект косметических средств. Ванна с морской солью ОСМО–ТЕРМИЯ ЦЕЛЛЮЛИТ оказывает воздействие на сосудистый компонент целлюлита: нормализует циркуляцию крови и лимфы, способствует выведению избыточной жидкостин, устраняет отек. Солевой пилинг разглаживает кожу, выравнивает ее поверхность, устраняет эффект «апельсиновой корки» и укрепляет кожу. Массаж проблемных зон с использованием масла ФИТО–АРОМА ЦЕЛЛЮЛИТ помогает быстрее избавиться от проявлений целлюлита, сделать кожу более упругой, а фигуру подтянутой и стройной.;;Франция;;
;783;Косметика;"Набор ""Осмо Термия Дренаж"" (E952 Соль ""Осмо Термия Дренаж"" + E953 Масло ""Фито Арома Дренаж"")  NEW";OSMO-SENS. DRAINAGE BOX (E952 Osmo-thermy Decongesting salt + E953 Phyto-Aromes Decongesting Essences)  NEW;наб.;;ERICSON LABORATOIRE;OSMO SENS;754 800;754 800;;E951;;Этот спа–набор необходим людям, имеющим склонность к отекам, задержке жидкости в организме, а также страдающим от проявлений синдрома «тяжелых ног». Герандская соль и ароматерапевтическое масло из этого набора дополнительно содержат в своем составе большое количество растительных экстрактов и эфирных масел, которые укрепляют стенки кровеносных сосудов и защищают их от повреждений, нормализуют крово– и лимфообращение, оказывают мощное дренажное и противоотечное действие. Возможность использования препаратов различными способами существенно расширяет их спектр лечебного действия. Солевая или ароматерапевтическая ванна позволяет не только получить дренажный эффект, но также оказывает превосходное тонизирующее действие на весь организм, повышает настроение и работоспособность, дарит неповторимое ощущение комфорта и легкости. Солевой пилинг или ароматерапевтический массаж нижних конечностей идеально подходят для устранения чувства тяжести в ногах, уменьшения отеков и борьбы с «сосудистыми звездочками».;;Франция;;
;784;Косметика;"Набор ""Осмо Термия Энергия"" (E955 Соль ""Осмо Термия Энергия"" + E956 Масло ""Фито Арома Энергия"")  NEW";OSMO-SENS. ENERGY BOX (E955 Osmo-thermy Revitalising Salt + E956 Phyto-Aromes Revitalizing Essences)  NEW;наб.;;ERICSON LABORATOIRE;OSMO SENS;754 800;754 800;;E954;;Уникальныйспа–набор включает в себя высокоактивную морскую соль Геранды, обогащенную измельченными лепестками цветов и корней лекарственных растений, а также ароматерапевтическое масло. С помощью входящих в состав набора препаратов можно выполнить ревитализирующий солевой пилинг тела, принять восстанавливающую минеральный баланс кожи ванну с морской солью или омолаживающую ароматерапевтическую ванну, а также насладиться ароматерапевтическим массажем. Процедуры рекомендуется использовать для поднятия жизненного тонуса, получения заряда бодрости, улучшения работоспособности и концентрации внимания. Благородная соль Геранды насыщает кожу минеральными соединениями, улучшает обмен веществ, способствует очищению кожи и выведению токсинов, стимулирует кровообращение, улучшает дренаж тканей. Благодаря регулярному солевому пилингу Вы сможете всегда наслаждаться безупречно гладкой сияющей кожей и надолго сохранить ее молодость.;;Франция;;
;785;Косметика;Набор для похудения Слим & Лифт (Крем двойного действия SLIMMING CALCIUM ACTIV + Сыворотка двойного действия REPAIR + E932 Массажер Липо-Фитнес)   NEW;SLIM & LIFT BOX ;150 + 50;;ERICSON LABORATOIRE;SLIM & LIFT ;1 101 600;1 101 600;;E593;;Набор высокоэффективных препаратов специально разработан для активного, комплексного воздействия на весь спектр проблем, сопутствующих целлюлиту и избыточным жировым отложениям. Входящие в состав набора липолитический крем и укрепляющая сыворотка дополняют действие друг друга, активно борются с избытком жира, великолепно разглаживают кожу, помогая избавиться от «апельсиновой корки» и делая менее заметными растяжки, а также повышают упругость кожи и способствуют устранению «сосудистых звездочек». ;;Франция;;
;786;Косметика;Набор для похудения (гель ночной + гель дневной+E932 Массажер Липо-Фитнес)   NEW ;HUNGER SUPPRESSANT FOR FAT CELLS;наб.;;ERICSON LABORATOIRE;INSULINOL CELLULIT-DIET;1 101 600;1 101 600;;Е541;;Этот набор представлен двумя комплексными препаратами нового поколения, действующими на уровне жировых клеток. Они специально разработаны для борьбы с целлюлитом и локальными жировыми отложениями. Гель для похудения дневной стимулирует процессы расщепления и мобилизации жиров, улучшает микроциркуляцию. Гель для похудения ночной подавляет процессы запасания жиров, обладает охлаждающим, сосудосуживающим действием, способствует дренированию тканей.;;Франция;;
;787;Косметика;Пэтчи для экспресс-похудения;PATCHES;наб.;;ERICSON LABORATOIRE;INSULINOL CELLULIT-DIET;550 800;550 800;;Е544;;Обогащенные мощными компонентами, подавляющими образование жиров, ПЭТЧИ успешно борются с локальными жировыми отложениями. Продолжительный контакт пластыря с кожей обеспечивает непрерывную диффузию активных компонентов для похудения и создает липолитический эффект непосредственно в тех зонах, которые особенно нуждаются в коррекции.;;Франция;;
;788;Косметика;Набор ENZYMACID BODY: - Пилинг для тела Дермаксид  - Лосьон для тела Супраксид  - Аппликатор для лосьона Супраксид;ENZYMACID BODY TECHNIC BOX;наб.;;ERICSON LABORATOIRE;ENZYMACID BODY   ;958 800;958 800;;E920;;;;Франция;;
;789;Косметика;Набор GENETIX SLIM (E943 Крем GENIC SLIM +E944 Сыворотка INTRAGENIC SERUM +E932 Массажер Липо-Фитнес)   NEW;GENETIX SLIM TECHNIC BOX (E943 GENIC SLIM CREAM + E944 INTRAGENIC SERUM + E932 LIPO-FITNESS. Slimming massage roller)     NEW;наб.;;ERICSON LABORATOIRE;GENETIXSLIM;1 101 600;1 101 600;;E942;;;;Франция;;
;790;Косметика;Крем VEGETAL ;DERMA-CALM BODY VEGETAL CREAM ;150;;ERICSON LABORATOIRE;DERMA CALM;530 400;530 400;;E707;;;;Франция;;
;791;Косметика;Молочко FLOWER MILK;DERMA CALM BODY FLOWER MILK ;150;;ERICSON LABORATOIRE;DERMA CALM;530 400;530 400;;E708;;;;Франция;;
;792;Косметика;Мусс FRUITY MOUSSE ;DERMA-CALM BODY FRUITY MOUSSE ;150;;ERICSON LABORATOIRE;DERMA CALM;530 400;530 400;;E709;;;;Франция;;
;793;Косметика;Крем FOOT REPAIR CARE ;DERMA-CALM BODY FOOT REPAIR CARE ;60;;ERICSON LABORATOIRE;DERMA CALM;346 800;346 800;;E711;;;;Франция;;
;794;Косметика;Крем дезодорирующий DEO-SOFT ;DERMA-CALM BODY DEO-SOFT ;60;;ERICSON LABORATOIRE;DERMA CALM;346 800;346 800;;E712;;;;Франция;;
;795;Косметика;Гель CELLULIT';BODY PHYSIO CELLULIT' GEL ;150;;ERICSON LABORATOIRE;BODY PHYSIO;469 200;469 200;;E51;;;;Франция;;
;796;Косметика;Гель ANTI RETENTION ;BODY PHYSIO ANTI RETENTION ;150;;ERICSON LABORATOIRE;BODY PHYSIO;428 400;428 400;;E52 ;;Это великолепное средство оказывает мгновенное действие. Освежающий, с нежной текстурой гель уменьшает отеки, снимает «тяжесть» и усталость в ногах, моментально приносит приятное ощущение легкости. Препарат также используется для профилактики и лечения варикозного расширения вен, при отечном «мягком» целлюлите. Средство обогащено эфирными маслами лимона и апельсина, которые в сочетании с экстрактами красного винограда и зеленого чая действуют как настоящий природный «насос» для отечных тканей, активизируют кровообращение, снимая нагрузку с переполненных кровеносных сосудов. Эфирное масло перечной мяты и камфора тонизируют и освежают, способствуют выведению токсинов, в сочетании с витамином РР осуществляют «пассивную гимнастику» кровеносных сосудов. В состав геля входит комплекс циклолипаза, который способствует активному сжиганию жира. Гель хорошо впитывается и не оставляет жирных следов, не пачкает одежду. При нанесении на стопы уменьшает потоотделение.;;Франция;;
;797;Косметика;Крем укрепляющий для тела TONING FIRMING CARE ;BODY PHYSIO LIPO LIFTING TONING FIRMING CARE ;150;;ERICSON LABORATOIRE;BODY PHYSIO;428 400;428 400;;E53;;Обладает сильным укрепляющим действием, используется как дополнительное средство в программах по снижению веса и коррекции фигуры, во время соблюдения диеты, после родов или резкой потери веса, а также во всех случаях, когда необходимо восстановить тонус и эластичность кожи. Стимулирует обновление клеток эпидермиса. Активный укрепляющий комплекс из экстрактов целебных растений восстанавливает эластичность тканей, обеспечивает лифтинговый эффект. Масло зародышей пшеницы обладает антиоксидантным и регенерирующим действием, поддерживает водный баланс эпидермиса, восстанавливает кожу.;;Франция;;
;798;Косметика;Флюид LIPO FITNESS ;BODY PHYSIO LIPO FLUIDE FITNESS ;150;;ERICSON LABORATOIRE;BODY PHYSIO;428 400;428 400;;E76;;Легкий крем для похудения и борьбы с целлюлитом. Активные ингредиенты (циклолипаза и кофеин), проникая в глубокие слои кожи, активизируют расщепление и выведение жиров. Экстракт камелии защищает клетки от действия свободных радикалов, укрепляет кровеносные сосуды, помогает избавиться от отеков и «апельсиновой корки». Фигура становится стройной и подтянутой. Масло зародышей пшеницы регенерирует и поддерживает водный баланс эпидермиса, повышая эластичность и тонус кожи. Лецитин яичного желтка восстанавливает и увлажняет кожу, устраняет раздражение, зуд, шелушение. Благодаря липосомам действие препарата продолжается еще в течение 15 часов после нанесения.;;Франция;;
;799;Косметика;Гоммаж LIPO;BODY PHYSIO LIPO GOMMAGE ;150;;ERICSON LABORATOIRE;BODY PHYSIO;448 800;448 800;;E39;;Скраб деликатно удаляет мертвые клетки рогового слоя, стимулирует обновление эпидермиса, улучшает кровообращение, подготавливая кожу к нанесению сывороток и кремов. Скраб настолько нежный, что не раздражает и не травмирует даже самую чувствительную кожу. Экстракты плюща, конского каштана и китайской камелии повышают тонус кровеносных сосудов, улучшают кровообращение, способствуют сжиганию жира, тонизируют и увлажняют кожу. Кофеин сжигает лишние жиры. Витамин Е замедляет процесс старения кожи.;;Франция;;
;800;Косметика;Крем против растяжек DERMO STRETCH  ;BODY PHYSIO DERMO STRETCH STRETCH MARKS REPAIR ;150;;ERICSON LABORATOIRE;BODY PHYSIO;510 000;510 000;;Е49;;За счет витаминов и растительных экстрактов крем оказывает выраженное лифтинговое действие. Интенсивно питает кожу, способствует ее обновлению и восстановлению. Крем предотвращает появление растяжек и делает менее заметными уже имеющиеся. Биокомплекссиланол С стимулирует синтез новых волокон коллагена и защищает их от разрушения, увлажняет кожу, обеспечивает антиоксидантную защиту. Экстракт центеллы азиатской обладает сосудоукрепляющим действием, стимулирует заживление и восстановление эпидермиса, обесцвечивает растяжки. Экстракт эхинацеи оказывает лечебное воздействие на кожу, стимулирует ее регенерацию, насыщает витаминами. Масло жожоба, витамины А и Е смягчают, повышают упругость и эластичность кожи.;;Франция;;
;801;Косметика;Крем увлажняющий для тела MOISTURIZING CARE ;BODY PHYSIO HYDRA DERM MOISTURIZING CARE ;150;;ERICSON LABORATOIRE;BODY PHYSIO;346 800;346 800;;E405;;Нежный увлажняющий крем для ухода за сухой, чувствительной и обезвоженной кожей тела обогащен молочными протеинами. Натуральные масла и витамины смягчают и увлажняют кожу, стимулируют регенерацию, обеспечивают антиоксидантную защиту. Никотинамид улучшает кровообращение, уменьшает проницаемость кровеносных сосудов, повышает их тонус. Применяя крем после сауны, бассейна или душа, вы защищаете кожу от обезвоживания, стимулируете и тонизируете ее. Благодаря легкой текстуре препарат быстро впитывается, оставляя кожу мягкой и бархатистой.;;Франция;;
;802;Косметика;Крем VENO TONIC ;BODY PHYSIO VENO TONIC SPECIAL CAPILLARY ;100;;ERICSON LABORATOIRE;BODY PHYSIO;428 400;428 400;;E214;;Лечебный крем стимулирует кровообращение и восстанавливает тонус и эластичность кровеносных сосудов, делает практически незаметной видимую на поверхности кожи сосудистую сетку. Устраняет чувство тяжести и усталости в ногах. Основными действующими компонентами крема являются комплекс фитотонин (экстрагирован из орехов кипариса, арники горной и купены многоцветковой), а также экстракты конского каштана, женьшеня и витамин РР. Крем защищает венозную систему, обладает противовоспалительным, болеутоляющим, антисклеротическим действием, способствует выведению токсинов, восстанавливает целостность сосудов. Особенно рекомендуется женщинам в период беременности, тем людям, чья работа связана с длительным пребыванием на ногах.;;Франция;;
;803;Косметика;Восстанавливающий крем;Dermaheal Post Laser Cream;15;;DERMAHEAL;;346 800;346 800;;PLC;;;;;CAREGEN CO;
;804;Косметика;"Постпроцедурный крем ""Суперотбеливание""";Dermaheal Post Therapy Super Brightening Cream ;15;;DERMAHEAL;;346 800;346 800;;PTSBC;;;;;CAREGEN CO;
;805;Косметика;Пенка для умывания;Dermaheal Foaming Cleanser;150;;DERMAHEAL;;346 800;346 800;;FC;;;;;CAREGEN CO;
;806;Косметика;Тоник очищающий;Dermaheal Total Care Skin Solution;275;;DERMAHEAL;;510 000;510 000;;TCSS;;;;;CAREGEN CO;
;807;Косметика;Скраб очищающий;Dermaheal Exfoliating Scrub Cleanser;100;;DERMAHEAL;;510 000;510 000;;ESC;;;;;CAREGEN CO;
